V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
0.220446659,0.268430247,0.221550014,0.217425936,0.206870014,0.289497158,0.227004809,0.338447882,0.230603684,0.165740959,0.283391343
0.152005695,0.156308651,0.161774455,0.162660943,0.165753087,0.170864219,0.157304574,0.246861402,0.287873155,0.275667074,0.276969465
0.228294826,0.257470853,0.243793957,0.236375919,0.212513135,0.232235096,0.241224503,0.220783433,0.371396988,0.299218169,0.358828681
0.257966236,0.306454538,0.290510592,0.236968895,0.27650089,0.227257876,0.292004275,0.752751517,1.161941577,0.404731961,1.738374809
0.335691341,0.230425,0.242262873,0.219619048,0.175449613,0.178293546,0.203794058,1.718863628,0.358377282,0.441236753,0.649224298
0.167955843,0.160725201,0.149785923,0.180861063,0.147152531,0.166292519,0.17047672,0.194507533,0.209688379,0.266961211,0.183983074
0.17290063,0.142693283,0.158984907,0.183329089,0.156446467,0.186778807,0.123980071,0.188941931,0.315950539,0.376038153,0.153756488
0.232092279,0.251246334,0.211298453,0.300244879,0.15338604,0.294295502,0.204041454,0.284995722,0.216903205,0.650913142,0.592535561
0.206902123,0.160573333,0.163560061,0.179733778,0.169538208,0.160916155,0.139147389,0.717358917,0.395061606,0.30203676,0.402220441
0.198656667,0.147441868,0.28753691,0.285055898,0.478524981,0.272105679,0.222535787,0.738822113,0.534940261,0.58534395,1.682178204
0.189367014,0.18714847,0.172755786,0.212617086,0.164037064,0.183228608,0.173241157,0.137025047,0.216110843,0.214365742,0.406179202
0.132907,0.168463006,0.142376153,0.206563644,0.167206477,0.186074902,0.313378905,1.007844515,0.297178468,0.414064646,0.283230386
0.243041092,0.211073599,0.142253048,0.210412654,0.149782956,0.164400201,0.209705398,0.160355353,0.208455564,0.355493166,0.73860486
0.263192562,0.279986606,0.24356956,0.253257204,0.26604193,0.203488748,0.333430963,0.379062239,0.268233609,0.329662016,0.280959045
0.301407712,0.275065374,0.197546417,0.21159806,0.255360416,0.207287609,0.28915147,1.765127491,0.321751305,0.383360525,0.516577644
