,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
num.p.scXY,249,257,238,248,231,239,223,233,249,227
num.true.p.scXY,244,253,233,245,229,235,222,228,244,225
precesion.scXY,0.979919679,0.984435798,0.978991597,0.987903226,0.991341991,0.983263598,0.995515695,0.978540773,0.979919679,0.991189427
recall.scXY,0.488,0.507014028,0.466,0.49,0.458,0.470941884,0.44488978,0.456913828,0.488,0.45
FalseP.scXY,0.0025,0.002001001,0.0025,0.0015,0.001,0.002002002,0.00050025,0.002501251,0.0025,0.001
F1.scXY,0.651535381,0.669312169,0.631436314,0.655080214,0.626538988,0.636856369,0.614958449,0.62295082,0.651535381,0.618982118
one.p.scXY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.t,49,83,36,52,43,68,48,64,53,59
num.true.p.t,47,83,36,51,43,67,48,64,53,59
precesion.t,0.959183673,1,1,0.980769231,1,0.985294118,1,1,1,1
recall.t,0.094,0.166332665,0.072,0.102,0.086,0.134268537,0.096192385,0.128256513,0.106,0.118
FalseP.t,0.001,0,0,0.0005,0,0.000500501,0,0,0,0
F1.t,0.171220401,0.285223368,0.134328358,0.184782609,0.158379374,0.23633157,0.175502742,0.227353464,0.191681736,0.211091234
one.p.t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.limma,0,0,0,1,0,3,7,3,0,0
num.true.p.limma,0,0,0,1,0,3,7,3,0,0
precesion.limma,NA,NA,NA,1,NA,1,1,1,NA,NA
recall.limma,0,0,0,0.002,0,0.006012024,0.014028056,0.006012024,0,0
FalseP.limma,0,0,0,0,0,0,0,0,0,0
F1.limma,NA,NA,NA,0.003992016,NA,0.011952191,0.027667984,0.011952191,NA,NA
one.p.limma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
